No,Timestamp,RSSI No.1,RSSI No.2,Battery Voltage,Firmware Version
0,2021-06-29T04:00:00.000Z,-57,0,4064,"rel.5.1h
"
1,2021-07-05T07:00:00.000Z,-56,-95,4062,"rel.5.1h
"
2,2021-07-05T08:00:00.000Z,-56,-137,4062,"rel.5.1h
"
3,2021-07-05T09:00:00.000Z,-56,-137,4080,"rel.5.1h
"
4,2021-07-05T10:00:00.000Z,-55,-137,4062,"rel.5.1h
"
5,2021-07-05T11:00:00.000Z,-56,-137,4064,"rel.5.1h
"
6,2021-07-05T12:00:00.000Z,-137,-137,4080,"rel.5.1h
"
7,2021-07-05T13:00:00.000Z,-137,-137,4080,"rel.5.1h
"
8,2021-07-05T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
9,2021-07-05T15:00:00.000Z,-137,-137,4064,"rel.5.1h
"
10,2021-07-05T16:00:00.000Z,-137,-137,4062,"rel.5.1h
"
11,2021-07-05T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
12,2021-07-05T19:00:00.000Z,-137,-137,4062,"rel.5.1h
"
13,2021-07-05T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
14,2021-07-05T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
15,2021-07-05T22:00:00.000Z,-137,-137,4064,"rel.5.1h
"
16,2021-07-05T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
17,2021-07-06T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
18,2021-07-06T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
19,2021-07-06T02:00:00.000Z,-137,-137,4064,"rel.5.1h
"
20,2021-07-06T03:00:00.000Z,-137,-137,4078,"rel.5.1h
"
21,2021-07-06T04:00:00.000Z,-57,-137,4080,"rel.5.1h
"
22,2021-07-06T05:00:00.000Z,-56,-137,4080,"rel.5.1h
"
23,2021-07-06T06:00:00.000Z,-57,-137,4068,"rel.5.1h
"
24,2021-07-06T07:00:00.000Z,-58,-93,4062,"rel.5.1h
"
25,2021-07-06T08:00:00.000Z,-57,-95,4080,"rel.5.1h
"
26,2021-07-06T09:00:00.000Z,-57,-93,4080,"rel.5.1h
"
27,2021-07-06T10:00:00.000Z,-57,-137,4062,"rel.5.1h
"
28,2021-07-06T11:00:00.000Z,-57,-137,4080,"rel.5.1h
"
29,2021-07-06T12:00:00.000Z,-137,-137,4062,"rel.5.1h
"
30,2021-07-06T13:00:00.000Z,-56,-137,4070,"rel.5.1h
"
31,2021-07-06T14:00:00.000Z,-56,-137,4064,"rel.5.1h
"
32,2021-07-06T15:00:00.000Z,-57,-137,4080,"rel.5.1h
"
33,2021-07-06T16:00:00.000Z,-137,-137,4064,"rel.5.1h
"
34,2021-07-06T17:00:00.000Z,-137,-137,4080,"rel.5.1h
"
35,2021-07-06T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
36,2021-07-06T19:00:00.000Z,-137,-137,4062,"rel.5.1h
"
37,2021-07-06T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
38,2021-07-06T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
39,2021-07-06T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
